,NODE1,NODE2,TYPE,DATE,SOURCEINTEXT,SOURCE,CONTEXT
12,IVANOV,PUTIN,positive,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"Continuing on this theme the source close to IVANOV reported that PESKOV now was ""scared shitless"" that he would be scapegoated by PUTIN and the Kremlin and held responsible for the backlash against Russian political interference in the US election."
13,IVANOV,Kremlin,positive,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"Continuing on this theme the source close to IVANOV reported that PESKOV now was ""scared shitless"" that he would be scapegoated by PUTIN and the Kremlin and held responsible for the backlash against Russian political interference in the US election."
14,IVANOV,US,positive,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"Continuing on this theme the source close to IVANOV reported that PESKOV now was ""scared shitless"" that he would be scapegoated by PUTIN and the Kremlin and held responsible for the backlash against Russian political interference in the US election."
15,PESKOV,PUTIN,positive,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"Continuing on this theme the source close to IVANOV reported that PESKOV now was ""scared shitless"" that he would be scapegoated by PUTIN and the Kremlin and held responsible for the backlash against Russian political interference in the US election."
16,PESKOV,Kremlin,positive,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"Continuing on this theme the source close to IVANOV reported that PESKOV now was ""scared shitless"" that he would be scapegoated by PUTIN and the Kremlin and held responsible for the backlash against Russian political interference in the US election."
17,PESKOV,US,positive,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"Continuing on this theme the source close to IVANOV reported that PESKOV now was ""scared shitless"" that he would be scapegoated by PUTIN and the Kremlin and held responsible for the backlash against Russian political interference in the US election."
18,PUTIN,Kremlin,positive,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"Continuing on this theme the source close to IVANOV reported that PESKOV now was ""scared shitless"" that he would be scapegoated by PUTIN and the Kremlin and held responsible for the backlash against Russian political interference in the US election."
19,PUTIN,US,positive,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"Continuing on this theme the source close to IVANOV reported that PESKOV now was ""scared shitless"" that he would be scapegoated by PUTIN and the Kremlin and held responsible for the backlash against Russian political interference in the US election."
20,Kremlin,US,positive,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"Continuing on this theme the source close to IVANOV reported that PESKOV now was ""scared shitless"" that he would be scapegoated by PUTIN and the Kremlin and held responsible for the backlash against Russian political interference in the US election."
21,IVANOV,PESKOV,negative,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,IVANOV was determined to stop PESKOV playing an independent role in relation to the US going forward and the source fully expected the presidential spokesman now to lay low.
22,IVANOV,US,negative,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,IVANOV was determined to stop PESKOV playing an independent role in relation to the US going forward and the source fully expected the presidential spokesman now to lay low.
23,PESKOV,US,negative,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,IVANOV was determined to stop PESKOV playing an independent role in relation to the US going forward and the source fully expected the presidential spokesman now to lay low.
24,Moscow,US,neutral,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"The extent of disquiet and division within Moscow caused by the backlash against Russian interference in the US election was underlined by a second source, close to premier Dmitriy MEDVEDEV (DAM)."
25,Moscow,Dmitriy MEDVEDEV,neutral,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"The extent of disquiet and division within Moscow caused by the backlash against Russian interference in the US election was underlined by a second source, close to premier Dmitriy MEDVEDEV (DAM)."
26,US,Dmitriy MEDVEDEV,neutral,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"The extent of disquiet and division within Moscow caused by the backlash against Russian interference in the US election was underlined by a second source, close to premier Dmitriy MEDVEDEV (DAM)."
27,PESKOV,USG,negative,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,They were openly refusing to cover up for PESKOV and others involved in the DNC/TRUMP operations or to support his counter-attack of allegations against the USG for its alleged hacking of the Russian government and state agencies.
28,Russia,PESKOV,negative,[8.5.2016],Christopher Steele,Steele dossier 2016/100 ,"This might not be so bad for Russia in the circumstances but in the view of the source, it remained largely wishful thinking on the part of those in the regime opposed to PESKOV and his botched"" operations, at least for the time being."
